FCEL,XOMA,MYGN,AVDL,MBOT,PLX,EPM,CMCL,MED,SGRP,PPBI,WYY,SMTI,SCWO,OMEX,CLWT,MANH,EZPW
0.075320513,0.042857143,0.103219557,-0.011494253,-0.05,0,-0.255999901,0,-0.333333396,0.076923077,0,-0.037037037,0,0,-0.142857143,-0.072463606,-0.031847134,0.044776099
0.034277198,-0.068493151,0.083261973,-0.029069767,-0.147368421,0,0,0,0,0,0,0.038461538,-0.153846154,0,0,0,-0.016447368,-0.028572288
0.112391931,0.058823529,0.001584733,0.053892216,0.037037037,0,0.677419316,0,0,0,0,0,0,0,0.039999962,0.062500174,0.10367893,0.044117667
0.028497409,0.222222222,0.056962037,0,0.19047619,0,-0.198718037,0,0,0,0,0.055555556,0.181818182,0,0.361538558,0,-0.012121212,-0.014083653
-0.011335013,0.015151515,0.091317333,0.090909091,0.08,0,0,0.25000036,0,0.047619048,-0.078125179,0,0,0,-0.235404888,-0.058823683,0.030674847,0
0.100636943,0.28358209,0.206447166,-0.010416667,0.296296296,1,0,-0.20000023,1.666666919,0.079545455,0.067796779,-0.035087719,-0.230769231,-0.047619106,-0.076354721,-0.031250048,-0.107142857,0
-0.034722222,0.104651163,0.002842544,-0.010526316,0.071428571,0,0,0.25000036,-0.125000071,-0.010526316,-0.015872947,-0.036363636,0,0,-0.042666647,0.032258116,0.12,-0.042857124
0.009592326,-0.094736842,0.037415013,0,-0.053333333,0,0,0,-0.142857154,0.106382979,0.024193388,0.056603774,0.3,-0.19999989,0.044568224,0,-0.029761905,-0.014925822
-0.033254157,0.034883721,0.139344196,-0.127659574,0,0,0,-0.20000023,0,0.038461538,-0.062992173,0.035714286,-0.230769231,0.749999943,0,0.125000039,-0.039877301,0
0.012285012,-0.06741573,-0.053237407,-0.073170732,-0.056338028,0,0,0,0.166666682,-0.12962963,0,-0.017241379,0.4,0.178571377,0.166666667,0,-0.009584665,-0.015151978
0.024271845,-0.030120482,-0.031914884,0.052631579,0.02238806,0,0,0,-0.428571382,-0.063829787,0.042017022,0,0,-0.090909091,-0.142857143,-0.111111142,0.048387097,0.015385092
-0.021327014,-0.062111801,-0.004186291,-0.025,0.00729927,0,0,0,0.125,-0.090909091,0.03225803,-0.052631579,0,0.133333374,0,0,0.015384615,-0.015151978
0.004842615,-0.039735099,-0.01576455,-0.076923077,-0.101449275,0,0.248000137,0,0,0,0,-0.055555556,-0.285714286,-0.0294118,0,0,-0.03030303,-0.199999155
-0.018072289,0.020689655,0.155365664,0.083333333,-0.032258065,0.25,0,0,0,-0.075,0,-0.058823529,0,-0.090909091,0,0.062500174,0.00625,0.192306406
0.042944785,0.101351351,0.069316005,-0.121794872,0.083333333,0,-0.40384614,0,0,-0.054054054,0,0,0,0,0,0,0.090062112,-0.032257588
0.094117647,-0.049079755,-0.03197918,-0.065693431,-0.007692308,0,0,0,0,-0.057142857,-0.031249967,-0.041666667,0,0.266666626,-0.083999952,-0.058823683,0.037037037,-0.008332825
