KNW,LIXT,DVAX,CHCI,BHRB,ISDR,MRKR,PRTG,SMTI,SGRP,QUBT,LFMD,NEPH,CYTH,SCWO,WFCF,DYAI,MITK,CTSO,HGBL
0,0.73333327,0.085889668,-0.250000027,0.002316781,0,0.117647059,0.111111111,0.117647059,0.426470615,0,0,0,0,-0.012195052,0.166666698,0.111111141,0.176470593,0,0.058823472
0,0.192307699,-0.011299478,0.66666669,0.016948868,0,0.052631579,0,-0.081578947,-0.103092805,0,-0.090909111,0,0,0,-0.142857166,-0.100000024,0,0,0
0,0,0.05142855,3.30000006,0.022727435,0,-0.05,0,0.06017192,0.241379353,0,0,0,0,0,0.041666722,0.066666671,0,0,0
0,0.048387129,-0.032608717,-0.162790701,-0.033333048,0,-0.105263158,0,-0.02972973,-0.101851861,0,0,0,0.2,-0.012345726,0.119999971,-0.166666636,-0.20000003,-0.166666667,-0.611111107
-0.166666667,0,-0.01685389,-0.30555555,0,0,0.058823529,0,0.002785515,0.13402061,0.026666667,-0.199999988,0,0,0,0.071428664,0.124999953,0,0,0
0,0,0.011428615,-0.200000014,-0.00383186,-0.019230881,-0.111111111,0,0,0,0.006493506,0,0,0,-0.004999995,-0.166666717,-0.111111074,0,0.2,0.285714274
0,0,0.016949109,0,0,0,0.1875,0,0.027777778,-0.0090909,0.038709677,0.249999981,0.333333333,0,-0.025125604,0,0,0,-0.083333333,0.111111141
0,0,-0.083333333,-0.099999991,0.038461694,0,0,0,-0.135135135,0.091743138,0.049689441,0.100000024,-0.166666667,0,-0.149484573,0.160000022,0,0.062500035,0,0
0,0,-0.024242401,0.111111101,0,0,-0.157894737,-0.1,0.015625,0.008403353,0.01183432,0.090909111,-0.060000017,0,-0.090909078,0.068965499,-0.125000028,0,0,0
0,0,0.018633493,0,0,0,0.125,0,0.061538462,0,-0.064327485,-0.1666667,-0.042553174,0,0,0.032258008,-0.142857094,0,0,0
0,0,-0.006097584,-0.099999991,0,0,0,0.277777778,0.020289855,0,0.0625,-0.050000012,0.333333333,0,0,0,0,1.94117644,0,0
0,0,0.067484689,0.055555598,0,0,0,0,0.048295455,-0.041666725,0.029411765,0,-0.25,0,0.016666651,0,0,0,0,0
-0.2,-0.661538454,-0.103448234,-0.052631617,-0.033333048,-0.019607853,0,-0.130434783,-0.024390244,0,-0.057142857,0,-0.044444426,0,0,0,0.0333333,0,0,-0.300000012
0,1.954545391,0.032051281,-0.166666698,0,0,0,0,0.025,0,0,0.157894776,-0.06976746,0,0.065573787,-0.062499894,0.032258034,-0.100000024,-0.363636364,1.285714359
0,0,0.118012396,0,0.003830967,0,-0.111111111,0,-0.024390244,0,0,0.227272722,0,0,0.046153875,0,-0.093750006,0,0.571428571,0.124999953
0,-0.600000015,-0.144444466,0.200000045,0.011450553,0,0,0,0.041666667,0,0.072727273,0.07407409,0,0,-0.044117674,0.066666546,-0.103448283,0,0,-0.155555544
0,-0.038461503,0.0974026,-0.166666698,0,0,0,0,-0.013333333,-0.130434765,-0.011299435,0.137930981,0,0,0,-0.031249947,0.115384624,0,0.636363636,0
0,0.2,0.011834365,0.133333439,-0.009811665,0,-0.0625,0,0.081081081,-0.079999983,0,0,0.25,0,0,0.032258008,-0.13793101,0,0,0
0,0,-0.070175482,0,0,0,0,0,-0.0375,0,0,-0.12121208,-0.120000034,0,0,0.093750029,0.120000005,-0.111111074,0,-0.013157882
0,0,0.062893083,0,0.013719951,0,0.066666667,-0.15,0,0,0,0.206896512,0.022727312,0,0.076923077,0.142857155,0,0,0,-0.066666683
0,0,-0.005917182,-0.117647141,0,0,-0.0625,0,0,0.304347854,0,0.142857143,0,0.166666667,-0.071428571,0,0,-0.525000013,0.111111111,0
0,0.166666667,0.017857212,0,0.529410723,0.020000011,-0.066666667,-0.058823529,0,0,0,0,0,-0.142857143,-0.076923077,0,-0.071428609,0,-0.1,0
0,-0.142857143,0.07017537,0,0.038462152,0,0,0,0,0,0,0,-0.177777797,0.166666667,-0.050000032,0,0,0,0,0
-0.625,0.166666667,-0.032786803,-0.066666606,0,0,-0.142857143,0.25,0,-0.1666667,0,-0.050000012,-0.054054032,-0.142857143,0.052631614,0,0,0,0,0
0,0,-0.039548064,0,0,-0.509803927,0,0,0,0,0.011428571,0,0.057142833,0,0,0,-0.615384596,0,0,0
0,0,0.005882375,-0.071428563,-0.018518416,0,-0.083333333,0,0,0,-0.039548023,0.052631592,0.351351382,0,0.166666667,0,0.099999978,0,0,-0.07142859
0,0.142857143,0.040935605,0.076923067,0.018867818,-0.679999989,0.272727273,-0.2,0,0,0,-0.125,0.2,0,-0.200000014,0,1.72727285,1.63157898,0,0
4.333333333,0.125,0.016853998,-0.285714312,0,0.250000042,-0.142857143,0.4375,-0.155844156,0.179999948,-0.029411765,0,-0.199999986,-0.333333333,0,-0.049999989,-0.63333335,0,0,-0.384615353
0.25,0,-0.005524883,0.099999991,0,0,0,0,0.169230769,0,0,-0.142857143,-0.145833313,1,0,0,0,-0.580000013,-0.166666667,0
0,0.111111111,-0.055555556,0.181818245,0,0,0,0,0,0,0.072727273,0.166666667,-0.121951214,0,0.250000021,0.184210522,0.272727285,0,0.2,1
0,-0.1,0.005882375,-0.076923132,0,0,0,-0.304347826,0,0,0,0,0,0,-0.057142871,0,1.071428503,-0.047619004,-0.111111111,0.249999981
0,0,-0.040935716,0.083333398,0,-0.5,0,0.875,-0.026315789,-0.152542335,0.016949153,0,0.277777765,0,0,0,-0.586206894,0.049999952,0,0
-0.05,0.133333312,0.006097584,1.84615367,0,0,0,-0.333333333,0,0,0,-0.085714272,-0.130434815,0,0,-0.111111119,0.250000078,1.285714306,-0.1875,0
